Intensity,step,V2307064,V2307103,V2307135,V2307181,V2307202,V2307214,V2308041,V2308101,V2308102,V2308154
4.67E+06,1,-80.11698914,-105.2386398,-96.21842194,-30.42624092,-96.01358795,-59.41657257,-128.3157043,-22.73684502,-64.12771606,-65.89144135
9.91E+06,2,-136.3000336,-167.0900269,-131.2016144,-42.59147644,-160.645462,-119.3560104,-187.5866241,-54.35093689,-128.1760559,-140.4248352
1.95E+07,3,-187.9319,-202.1066742,-163.3249207,-55.49103546,-212.1671143,-165.114212,-194.6746979,-71.31278992,-173.1933441,-209.2690887
4.04E+07,4,-233.2627869,-245.9384308,-182.1636963,-68.60305023,-257.1203613,-210.3438721,-226.4871826,-108.4181747,-219.8537292,-301.243042
8.57E+07,5,-259.9497375,-299.4380188,-186.5747528,-73.32424164,-304.9084778,-227.3876495,-255.8779144,-121.0612946,-253.786499,-348.7593384
1.69E+08,6,-258.1701965,-330.6596375,-163.5694733,-75.92615509,-322.4347839,-220.5021515,-246.714447,-122.0339661,-267.0843811,-359.6754761
3.99E+08,7,-237.7728119,-340.050354,-157.5668945,-83.07163239,-333.9699097,-194.4931488,-231.151535,-95.52897644,-258.4537659,-360.0285034
8.47E+08,8,-186.3220825,-327.7363281,-141.136322,-86.72648621,-302.1207581,-161.8727722,-185.4395905,-64.03556824,-244.119278,-300.3876953
1.67E+09,9,-146.945755,-293.0557556,-110.7964249,-70.75652313,-260.5931091,-113.3076706,-127.235466,-42.99453735,-214.6823273,-247.7663269
3.08E+09,10,-113.4350433,-224.9290009,-78.5687561,-56.3849144,-195.3048096,-110.9422073,-103.0549927,-29.73157883,-198.4987793,-184.6755676
4.67E+06,11,-6.628624916,-15.61266708,-9.038262367,-5.264046192,-7.588433266,-3.634966135,-3.842851639,,-11.18085098,-5.839267254
9.91E+06,12,-14.24515629,-42.46870041,-22.35713196,-12.89045525,-30.77925491,-7.893802643,-7.517683029,,-30.58015442,-12.19583893
1.95E+07,13,-31.36726761,-77.2933197,-34.15329361,-22.49708176,-51.14176178,-19.84112167,-14.80839157,,-63.56652832,-22.16248512
4.04E+07,14,-64.05569458,-135.5129852,-51.36179352,-37.35009384,-78.42326355,-43.49261856,-31.67992592,,-101.5914841,-44.68281937
8.57E+07,15,-90.02465057,-172.7841797,-63.04935837,-46.43418121,-102.0741806,-66.17490387,-48.58679962,,-169.8209076,-87.78662872
1.69E+08,16,-110.2067108,-190.7645721,-70.93451691,-51.46744919,-111.2777176,-71.41740417,-56.47797775,,-193.2569122,-95.28637695
3.99E+08,17,-121.980896,-217.0379486,-68.30768585,-60.15788269,-110.4060211,-76.44300842,-67.26823425,,-208.5571442,-116.0724258
8.47E+08,18,-115.312973,-205.9210663,-64.42068481,-55.1342392,-108.0359726,-59.33361435,-61.61602402,,-186.5078125,-111.2222061
1.67E+09,19,-122.3506546,-191.5165253,-51.66461182,-58.71926117,-96.95243835,-56.80636978,-55.61775589,,-164.5764465,-95.33892822
3.08E+09,20,-103.5710602,-174.078186,-49.21506119,-53.86669922,-93.34833527,-53.58623505,-51.72598648,,-153.5766296,-85.59615326
