Intensity,step,V2307102,V2307114,V2307133,V2307185,V2307204,V2307211,V2308033,V2308043,V2308081,V2308153
4.67E+06,1,0.563790732,0.623682097,0.736034057,4.185163479,0.743971274,-0.753162967,0.800109523,2.3224385,0.287097571,0.239903832
9.91E+06,2,1.087355309,1.349585608,2.396630785,7.140145759,1.878184721,-0.839768039,0.983167189,3.010075352,-2.031320932,2.640719796
1.95E+07,3,2.336762541,1.78917034,3.011574766,4.587022762,4.01792042,-0.939636813,3.959634918,5.647879383,-0.816151025,3.053970719
4.04E+07,4,3.774627798,1.003387526,5.88425543,6.890669803,2.7633342,-0.109295474,6.383546966,8.787278912,-1.307726266,5.635142709
8.57E+07,5,5.524994725,2.872792319,8.22023966,9.011412124,6.475331232,0.194188489,9.064947265,11.45029046,2.721940634,9.712039376
1.69E+08,6,9.568403595,3.402382925,9.248791716,9.401502113,9.446303293,-0.755789386,13.6825334,15.0477102,3.96496546,10.81602612
3.99E+08,7,12.25002038,-2.173281595,12.31589033,11.18082474,13.53986637,-0.227552997,20.31328215,16.75726106,5.409862158,14.53864803
8.47E+08,8,15.46969544,1.724507407,14.82965948,12.78553341,17.80028431,-1.18297063,25.22378363,21.15719201,6.434606192,14.44270649
1.67E+09,9,19.47914922,2.304791525,17.17093374,10.92425583,20.54834454,0.051549329,27.18229308,22.30573251,7.301025031,19.55281391
3.08E+09,10,23.43783604,4.58649166,18.42620566,13.64135883,25.74284451,-1.262568103,29.6193067,26.64184549,8.024552939,25.04015293
4.67E+06,11,21.67571866,4.775784567,21.63218023,16.49267719,31.4884557,-0.632643329,28.22012343,24.66502168,8.722062704,17.38234081
9.91E+06,12,19.57959401,5.648631171,22.07555105,15.50058697,30.78779881,-1.300015079,26.5854608,29.68190362,8.88192713,17.00526562
1.95E+07,13,18.15980183,4.210848883,21.67637732,12.27374313,29.93626301,-0.360544788,26.57208456,25.66126229,8.107644675,17.04316273
4.04E+07,14,16.39103925,5.861012534,20.44326117,12.78984306,31.04275791,-1.549818622,27.72342314,24.65467241,10.30504954,11.6870779
8.57E+07,15,13.76448094,3.031964377,20.13087942,9.917766075,30.15959446,-1.481499301,28.39903845,21.45213868,8.86941683,13.26682797
1.69E+08,16,15.14305245,0.754018858,19.33384993,10.40019176,32.14803974,0.328513516,28.75350775,21.33076074,8.016059515,12.13063755
3.99E+08,17,15.31337773,1.712838248,20.38775732,10.28246067,27.31138127,-1.914211856,28.46371092,22.32407739,7.934178946,11.54987469
8.47E+08,18,15.95943486,1.104538039,17.53708174,10.49957417,30.84307759,-0.861393558,31.58863272,21.70260217,13.02024042,12.9130949
1.67E+09,19,16.83256184,3.370776251,19.99893858,11.78170917,30.25437824,-1.442848788,30.48328795,23.75000741,9.656018851,13.36086407
3.08E+09,20,18.77270352,2.615677908,21.14832785,12.17636154,32.30197804,1.379945172,33.06911482,24.68611123,16.55909312,14.28029003
