Intensity,step,V2205183,V2205244,V2205264,V2205315,V2206073,V2206082,V2206142,V2206143
6.67E+06,1,1.118603586,0.625589025,-1.735098407,0.106102076,0.060979076,-0.360344299,1.743411931,0.329708475
1.42E+07,2,2.113158284,0.540073526,-2.621918723,1.088587847,0.338960834,0.532878271,3.450346859,0.633745926
2.79E+07,3,3.362948714,1.04878391,-1.937513873,1.381999102,1.708332248,1.419661394,3.221637639,1.240374404
5.77E+07,4,3.621999799,2.540004384,-1.437146708,1.742664423,0.828994937,1.514631144,4.591558369,2.917209881
1.22E+08,5,3.732786714,3.457854402,-0.164820239,3.134215441,0.513818927,2.312315813,5.351847561,3.130730289
2.41E+08,6,5.23258525,5.279826772,1.132669881,2.673435297,-1.235442929,3.591026178,5.794561299,3.345199483
5.70E+08,7,5.970162688,9.066922795,1.412245229,4.26471528,-0.946860127,3.594999662,6.913446339,6.404800194
1.21E+09,8,7.532322704,11.58649601,3.472264722,6.354189958,0.659563251,5.101509443,6.749593647,5.852627056
2.38E+09,9,6.534631549,13.54754795,4.627440885,6.663489427,1.505556293,5.336651198,5.426401051,7.478806752
4.40E+09,10,8.583237945,16.33738292,6.071383908,8.39638814,1.693494983,5.853796354,6.877619656,7.521342057
5.07E+06,11,9.835213958,13.91232647,3.410150006,7.988890734,1.709375568,6.978064886,7.918167027,9.077826756
1.08E+07,12,8.113233863,14.4700066,4.300314382,10.05524549,0.3845293,3.935035101,8.243304165,9.134155529
2.12E+07,13,8.015584766,15.5109383,4.180039838,11.11734494,0.43706245,4.400216452,6.993963154,7.799714344
4.38E+07,14,8.97810012,15.94133533,5.375151113,14.07256993,1.106062122,3.57030522,6.308447751,7.83292939
9.31E+07,15,8.1273759,16.32204975,6.003569081,15.90211209,0.564496227,4.593475691,6.541593464,7.702449578
1.83E+08,16,10.05003673,19.27227749,7.582478002,16.30926618,1.06767673,7.033966414,8.64569846,10.22909047
4.34E+08,17,10.41565829,20.42495693,11.23808141,20.65572652,2.782644458,5.739600531,7.930849942,10.13362004
9.20E+08,18,11.16353923,21.07083667,15.28817411,22.6509448,5.916486926,8.148763052,8.256377133,13.28749539
1.81E+09,19,13.56089049,24.91275371,25.7923245,25.06843862,6.484852023,10.85510193,8.611629399,15.39494492
3.35E+09,20,17.35739261,27.30619396,26.84867902,26.93543538,4.814045139,13.36409222,10.29126349,19.09104516
