Intensity,step,V2205183,V2205244,V2205264,V2205315,V2206073,V2206082,V2206142,V2206143
6.67E+06,1,-2.002618313,-4.791471958,-4.459820747,-1.78376174,-3.805427074,-4.899409294,-7.426361561,-2.151580334
1.42E+07,2,-2.06697011,-8.377543449,-7.559614658,-9.970724106,-7.184989452,-15.07163715,-16.6182785,-3.621104717
2.79E+07,3,-4.687784195,-25.62179184,-23.07983208,-28.33370781,-13.97288418,-31.8980751,-26.84023094,-16.71518326
5.77E+07,4,-8.756422043,-52.27264786,-46.78569794,-51.22949219,-34.95488739,-81.20503235,-47.04870987,-45.80793762
1.22E+08,5,-20.99363136,-94.19436646,-110.7311554,-99.06949615,-57.10416412,-139.5787048,-69.21791077,-90.11458588
2.41E+08,6,-29.05928421,-141.1530457,-183.9584351,-149.7834167,-83.61312866,-197.1480103,-91.43344879,-153.4055786
5.70E+08,7,-43.4730072,-189.0486298,-242.5808563,-172.0784454,-109.3257828,-228.7695923,-117.7449951,-225.8911285
1.21E+09,8,-49.93371201,-200.6732635,-274.799469,-193.9066772,-128.0729828,-231.3582764,-125.5347824,-245.5914917
2.38E+09,9,-51.29341507,-200.9349518,-272.4993896,-203.8218536,-118.5356445,-227.887207,-113.584938,-239.8426666
4.40E+09,10,-52.47750092,-185.6114197,-256.7700806,-187.0283203,-118.40448,-232.6185303,-99.25427246,-227.1686554
5.07E+06,11,-5.562564373,-16.31394386,-17.48650169,-17.60480309,-13.9820013,-19.16504669,-9.526925087,-13.23886776
1.08E+07,12,-10.5855732,-39.42448425,-50.0378418,-44.98853302,-34.89880371,-48.24246597,-22.9399662,-33.53940201
2.12E+07,13,-18.3947506,-62.00183868,-94.84319305,-84.15516663,-60.48272324,-76.73729706,-37.41905212,-72.84423828
4.38E+07,14,-33.00952148,-98.82393646,-167.9500732,-144.5511627,-87.97991943,-109.9659958,-55.84052277,-135.6394348
9.31E+07,15,-48.56754303,-122.7791672,-219.2984009,-185.0565643,-107.0501862,-132.6954651,-74.90676117,-178.1894836
1.83E+08,16,-56.03966141,-131.7282715,-235.2158203,-200.7886963,-112.4613266,-136.9041901,-80.61003876,-205.9938507
4.34E+08,17,-62.00400925,-128.0015259,-252.065979,-218.3166809,-107.8131332,-147.933136,-92.79923248,-219.94664
9.20E+08,18,-63.27362061,-123.5270233,-249.3210602,-214.1846008,-88.99022675,-137.9440308,-88.92201233,-216.5870361
1.81E+09,19,-57.71077728,-103.635437,-216.8275757,-193.9291229,-70.58808136,-128.3587036,-84.192276,-205.8132172
3.35E+09,20,-43.44614792,-78.64057922,-148.4084625,-190.0573578,-39.58376312,-105.9737396,-77.001297,-189.3721466
