Intensity,step,V2205172,V2205274,V2206075,V2206081,V2206105,V2206153,V2206154
6.67E+06,1,-0.247512817,0.296804905,0.696190357,-1.0031147,0.732231617,1.906133413,1.1465583
1.42E+07,2,0.481300354,-0.439058304,1.503561497,2.037540436,1.43070507,3.008154631,2.523558632
2.79E+07,3,-0.39333725,-0.918857098,1.691083908,0.02140522,0.186655998,4.13786149,7.311828867
5.77E+07,4,-0.187961578,-0.642626762,1.760651112,-0.785404205,0.781498909,5.470563173,8.699015394
1.22E+08,5,-0.194431305,-1.300859928,2.158816338,-1.258586884,1.21394062,8.357612848,9.023469701
2.41E+08,6,0.645648003,-0.297482491,2.983392715,-0.286569595,1.805841446,11.64341378,9.387858167
5.70E+08,7,3.357040405,-0.170158386,3.4300313,0.437007904,1.409831047,13.64051843,10.78912522
1.21E+09,8,5.942793846,1.623317242,4.858874798,1.798163414,2.007585049,13.49390244,12.7329786
2.38E+09,9,8.007958412,2.683237076,6.536403179,3.246195793,3.317142487,14.23904824,13.77241494
4.40E+09,10,9.531880379,3.13008976,6.522438526,3.265849113,3.804142952,14.49171281,13.55148198
6.67E+06,11,7.289801598,3.631213188,9.326414585,2.532952309,2.939478874,13.889498,13.12751748
1.42E+07,12,7.085122108,1.432553768,11.27500963,2.950727463,4.891759872,12.09790158,12.01378323
2.79E+07,13,6.790204048,0.983583927,11.43695784,3.909416199,3.320041656,12.01401544,12.63663556
5.77E+07,14,8.092905998,0.216995716,13.34036303,2.083939552,2.810329914,12.99494386,10.49954678
1.22E+08,15,7.769440651,-0.915280342,10.77979326,3.328195572,2.980500221,13.77942109,10.04234959
2.41E+08,16,6.39461422,1.818548679,11.60286283,1.516519547,3.389883041,11.26636052,10.74478413
5.70E+08,17,7.576479912,4.445811272,10.87145472,1.503427505,4.552719116,11.80978799,9.805211797
1.21E+09,18,8.786734581,3.60444355,14.25055361,1.513498306,4.820697784,13.63426232,7.90222241
2.38E+09,19,9.923283577,4.31191349,13.84895754,2.430078506,7.653707504,13.9152842,8.719883695
4.40E+09,20,9.705456734,4.114064217,14.99115229,3.369119644,5.496253014,14.23551965,6.654163137
