Intensity,step,V2205172,V2205274,V2206075,V2206081,V2206105,V2206153,V2206154
6.67E+06,1,-13.4956,-8.288939476,-1.816338539,-2.814174891,-9.521198273,-4.180942535,-4.360426426
1.42E+07,2,-24.9574337,-15.98415661,-2.684735775,-6.504381657,-14.98901463,-6.521449566,-6.701749611
2.79E+07,3,-47.85641479,-37.61022949,-9.185639381,-12.61641979,-35.02886963,-13.38006401,-18.56625938
5.77E+07,4,-83.52160645,-62.49539566,-21.72234917,-35.25468063,-63.08546066,-29.5243988,-30.83226585
1.22E+08,5,-123.0294418,-96.07630157,-56.1329422,-82.88957977,-81.44130707,-65.19062042,-63.01379776
2.41E+08,6,-149.489975,-126.3804092,-108.1537857,-164.7343903,-99.54551697,-97.53372955,-93.2075882
5.70E+08,7,-171.1596222,-147.5193939,-165.6204681,-233.4685211,-108.9588547,-140.7062225,-130.9568939
1.21E+09,8,-185.6853027,-147.9708252,-185.2926941,-276.9233093,-111.4043198,-174.0515442,-156.2667236
2.38E+09,9,-158.0171356,-143.9407806,-187.5807495,-278.6729736,-108.7550278,-180.735733,-155.5167236
4.40E+09,10,-121.9345474,-137.4213409,-185.0600891,-269.0311279,-114.0608444,-167.5435333,-137.3026733
6.67E+06,11,-4.338319302,-5.089199066,-2.711561203,-3.500987053,-5.532532692,-4.911767483,-3.630288601
1.42E+07,12,-6.901378155,-6.58172369,-4.217832088,-4.807382107,-8.250609398,-4.861370087,-4.675840378
2.79E+07,13,-12.12729263,-14.22215176,-9.440739632,-9.577713966,-18.89120102,-8.480278015,-10.00161076
5.77E+07,14,-25.17813873,-34.19266129,-19.88891792,-23.97440147,-39.66224289,-18.31678581,-15.24831581
1.22E+08,15,-43.90710831,-60.70115662,-43.83185577,-62.2637291,-70.74774933,-45.65029526,-38.2032814
2.41E+08,16,-73.15784454,-96.14093018,-80.70773315,-119.7471313,-96.88013458,-78.41409302,-66.12989044
5.70E+08,17,-113.8962631,-119.5582962,-144.8551178,-205.3556976,-124.7755051,-145.4315033,-105.0005875
1.21E+09,18,-128.8222809,-139.5039215,-177.1912537,-260.3921814,-134.431778,-186.9312439,-126.3738632
2.38E+09,19,-128.9575195,-133.5051422,-178.7605591,-286.8858643,-136.1429596,-191.8981323,-129.0224304
4.40E+09,20,-119.9081039,-130.8503418,-182.3095703,-275.4220276,-136.1701355,-184.9951019,-114.3813095
