Intensity,step,V2503251,V2503252,V2503253,V2504013,V2504031,V2504033,V2504081
3.00E+07,1,1.630157657,-0.953342011,0.400588512,0.802715962,0.964167912,0.464238143,-0.604939064
6.38E+07,2,1.257383056,-1.023689321,0.816759586,1.015115444,0.69367655,0.847424483,0.089249054
1.23E+08,3,2.493954368,0.765466163,-0.80065918,0.221278851,2.51102503,1.845535969,0.232935349
2.24E+08,4,4.652014919,2.072211692,0.387497425,4.49219722,1.919912893,3.192520356,1.506289879
4.77E+08,5,10.51969785,3.956309745,2.255053043,3.827059929,5.641697962,5.160347199,-0.183378777
1.11E+09,6,13.67103452,5.73406739,3.159749985,7.13227195,7.121225435,5.847606873,5.71747438
1.84E+09,7,17.97430105,7.456493804,5.404288769,7.796887581,9.461397249,6.517072892,9.740272919
6.65E+09,8,21.31399984,15.88847871,13.25332117,9.831721489,10.88326367,17.78381751,13.73547021
1.37E+10,9,27.8008048,21.47594208,18.80171251,12.77667541,15.50765427,25.10740492,13.96126024
1.76E+10,10,26.88115377,25.67074914,21.49631548,15.36780471,20.7271138,26.99907706,12.79719774
3.00E+07,11,22.04432172,20.84997506,17.19246721,14.03394241,15.60340698,25.12022994,17.13026277
6.38E+07,12,20.39759893,19.49885125,16.58759737,11.7523796,15.87548454,24.16930602,17.24881212
1.23E+08,13,22.1252181,17.74811883,12.01873636,11.40944976,16.77141007,21.78595946,16.63590471
2.24E+08,14,22.24293966,20.55037064,12.10162783,12.02333755,14.34219654,22.58970091,15.07082788
4.77E+08,15,24.27341909,24.00306077,11.72411108,15.02546424,13.86756809,22.58925841,14.29354326
1.11E+09,16,24.75813741,24.15341897,12.83474016,12.05478591,14.4435521,22.13442824,14.20937959
1.84E+09,17,28.31837148,26.49713845,15.48494577,13.67900962,,22.16385672,14.7593
6.65E+09,18,25.77271719,22.61901612,19.08252764,13.53218765,,21.7283499,13.71335451
1.37E+10,19,26.37163419,25.28090234,18.58880854,15.37400169,,27.45785925,15.64713136
1.76E+10,20,25.60326833,25.8139872,24.74872446,17.37724799,,25.70098326,14.57652322
