Intensity,step,V2503251,V2503252,V2503253,V2504013,V2504031,V2504033,V2504081
3.00E+07,1,-171.5791779,-143.087616,-93.15703583,-134.1400757,-44.09107971,-100.8917465,-131.149292
6.38E+07,2,-240.4734192,-212.2601776,-205.1595917,-199.2622833,-130.3780975,-206.4308777,-196.8629456
1.23E+08,3,-283.2704773,-275.4686584,-234.7762756,-228.045105,-203.9490356,-321.446228,-248.2617645
2.24E+08,4,-288.3131104,-307.4602661,-260.8006897,-231.268692,-256.469635,-401.5040894,-282.6061707
4.77E+08,5,-318.6419067,-300.9922485,-321.8721924,-247.8742371,-326.8194885,-446.9480591,-308.502655
1.11E+09,6,-352.4450684,-349.1880188,-336.0879211,-253.8129425,-354.425415,-481.3659363,-326.2148438
1.84E+09,7,-327.1966248,-342.4306335,-366.8440552,-262.5792542,-393.003418,-446.9812622,-277.6981506
6.65E+09,8,-335.7692871,-349.7914429,-373.0777283,-258.947998,-384.530304,-487.9988708,-257.0390015
1.37E+10,9,-284.9259338,-314.5222168,-344.4082336,-263.6020203,-404.8423157,-414.8447266,-186.7073822
1.76E+10,10,-253.0761108,-284.1424255,-337.1062927,-222.9207764,-355.7915039,-265.1682129,-127.4809799
3.00E+07,11,-38.0824585,-44.2836647,-27.55791664,-26.4250164,-22.23843384,-27.97003174,-14.09627533
6.38E+07,12,-55.43502045,-77.84721375,-57.63036728,-56.55580521,-53.18536377,-51.98678207,-23.24409676
1.23E+08,13,-83.95693207,-128.1014557,-100.505722,-108.0152817,-84.42349243,-79.98705292,-30.24219322
2.24E+08,14,-107.6301804,-154.4252014,-100.922081,-153.3139343,-134.3095703,-130.638855,-45.84205246
4.77E+08,15,-114.4954453,-160.9401398,-131.9533844,-190.5286102,-185.185791,-185.4322205,-55.82480621
1.11E+09,16,-116.464035,-193.7545929,-191.7073364,-207.8122864,-202.5493011,-222.7758789,-75.66963959
1.84E+09,17,-122.2123337,-165.5332336,-229.3099823,-198.4109344,-227.0406036,-221.0304413,-62.84508896
6.65E+09,18,-106.0147705,-132.3704224,-269.2853394,-211.9312744,,-244.7319489,-62.53567505
1.37E+10,19,-91.32878113,-72.92465973,-275.2955933,-216.5898743,,-242.7481689,-52.92430496
1.76E+10,20,-95.07899475,-57.10147476,-297.2918701,-116.105484,,-182.9599304,-58.92215347
