Intensity,step,V2503271,V2503272,V2503281,V2504041,V2504012,V2504032,V2504082
3.00E+07,1,-1.150326447,-1.18459138,1.691453444,0.387586408,-0.106350928,1.28793647,0.411248039
6.38E+07,2,-1.464606957,-3.315042583,-0.797539247,5.048978619,-0.22563222,2.058386108,-0.01894249
1.23E+08,3,-1.250954346,0.29155341,-0.747368349,3.986505322,0.336986751,2.333988449,1.510305117
2.24E+08,4,1.062822624,2.090657147,-1.306863321,5.375261121,2.761831969,10.35194328,3.675193737
4.77E+08,5,4.574829383,8.502993497,2.002752768,7.684676938,4.192795009,12.54330184,4.376199673
1.11E+09,6,8.515599532,15.31872645,4.262604224,10.58172017,8.721617908,19.20292403,7.934104393
1.84E+09,7,12.37981157,20.81248942,4.700674521,21.77683812,10.14834711,19.20882537,6.41598935
6.65E+09,8,19.94169931,26.86472407,7.273327338,23.80484562,13.74989244,25.58293082,8.171446751
1.37E+10,9,31.8738759,30.40720454,7.625982748,37.2252863,18.75254175,26.07506492,8.908393811
1.76E+10,10,36.16323976,28.25217143,9.611244666,40.72485524,23.18450663,27.48182227,12.86212058
3.00E+07,11,32.50367479,22.47645274,6.02947663,35.09995442,19.1705887,23.14718558,11.79057879
6.38E+07,12,31.49488191,22.99938289,5.063391196,34.31188755,20.34965822,23.95410468,7.966131161
1.23E+08,13,28.87029008,22.51424876,5.581690298,36.0660532,22.30639193,24.66718223,5.948574494
2.24E+08,14,29.46973161,22.00738231,5.416819083,33.83797627,21.76139185,26.16783073,6.308995674
4.77E+08,15,29.05113725,21.576291,6.314432608,34.54578953,22.68270609,27.38158729,4.987394284
1.11E+09,16,30.46758012,24.04694453,7.216444479,34.60048848,23.39304087,26.68219306,6.129139374
1.84E+09,17,28.64653902,24.58925715,6.140722739,35.27848988,25.57935068,29.01918723,6.88524289
6.65E+09,18,34.07751207,21.45491115,6.993273245,35.8372324,26.25658914,29.33457114,6.699544857
1.37E+10,19,32.14737443,25.85987559,10.27410554,40.9153307,27.53132173,27.53282859,5.847278546
1.76E+10,20,33.617101,26.29716197,9.693077551,39.90396672,29.53316042,31.2841294,7.427064846
