Intensity,step,V2503271,V2503272,V2503281,V2504041,V2504012,V2504032,V2504082
3.00E+07,1,-251.2671356,-152.7658234,-57.983078,-174.7986755,-139.9364166,-120.8042221,-60.32839966
6.38E+07,2,-322.7676392,-247.8633728,-107.6547546,-297.473877,-192.7129669,-127.6490021,-119.7272415
1.23E+08,3,-366.0515442,-303.4891052,-150.9647522,-417.2113953,-223.0301056,-137.8614044,-159.6041412
2.24E+08,4,-495.2790833,-366.2834167,-187.2940826,-482.4606018,-267.6864624,-159.2502441,-251.6926117
4.77E+08,5,-430.9103088,-382.7486267,-198.8579559,-557.3582764,-287.1004333,-172.7319489,-308.7506104
1.11E+09,6,-473.3709717,-390.46521,-198.5036469,-603.2427368,-320.6374207,-163.4020538,-353.3091736
1.84E+09,7,-450.0602112,-363.9207458,-171.3843842,-630.4707642,-321.73349,-146.9436035,-324.833252
6.65E+09,8,-447.4490662,-343.7122803,-156.4514618,-570.1090698,-338.8875427,-142.9130249,-335.2773438
1.37E+10,9,-415.2492676,-306.9353333,-110.8124619,-530.8356934,-331.7355347,-119.8038254,-346.0735779
1.76E+10,10,-336.3310852,-236.415741,-84.63197327,-368.5374146,-305.5922241,-88.04621124,-338.8326111
3.00E+07,11,-44.03236771,-39.82129288,-12.75953102,-22.3740387,-67.63717651,-14.02536392,-40.10909271
6.38E+07,12,-82.75337982,-66.3538208,-17.13568497,-41.16177368,-136.7386627,-34.17061996,-84.22853088
1.23E+08,13,-119.811821,-94.04589844,-27.87900734,-71.08359528,-192.6310425,-44.51395416,-121.0901947
2.24E+08,14,-192.88974,-135.633728,-40.11798477,-113.2380295,-246.2138824,-58.94865799,-179.8864441
4.77E+08,15,-226.2217865,-135.216568,-50.33587646,-166.3033905,-269.049469,-66.9263382,-155.9716339
1.11E+09,16,-254.0841064,-154.2599487,-64.75072479,-213.6410675,-275.8613281,-69.96142578,-160.8126221
1.84E+09,17,-226.1958923,-128.5510559,-59.35254669,-262.9504089,-242.5709534,-62.36826324,-131.8630066
6.65E+09,18,-234.2382965,-134.20224,-65.78424072,-273.2727966,-231.9374084,-61.29345322,-130.8756256
1.37E+10,19,-210.8964844,-126.8575974,-56.43003464,-277.2494507,-227.1885376,-70.126297,-135.4766235
1.76E+10,20,-209.4890137,-120.680481,-42.97318649,-255.0173035,-221.4713745,-69.70353699,-133.0371552
