irr,pulse,V2307064,V2307103,V2307135,V2307181,V2307202,V2307214,V2308041,V2308101,V2308102,V2308154,V2307102,V2307114,V2307133,V2307185,V2307204,V2307211,V2308033,V2308043,V2308081,V2308153
6.67,1,2.54,2.5,3.32,0.61,-0.23,0.33,-0.26,1.28,0.6,2.11,0.56,0.62,0.74,4.19,0.74,-0.75,0.8,2.32,0.29,0.24
7,2,5.27,5.46,4.68,3.17,-0.2,1.16,1.06,1.48,1.72,4.63,1.09,1.35,2.4,7.14,1.88,-0.84,0.98,3.01,-2.03,2.64
7.29,3,7.34,7.48,6.3,3.78,0.84,0.8,3.82,1.5,2.75,4.81,2.34,1.79,3.01,4.59,4.02,-0.94,3.96,5.65,-0.82,3.05
7.61,4,8.56,8.55,8,4.46,2.73,3.83,4.68,0.33,5.19,7.7,3.77,1,5.88,6.89,2.76,-0.11,6.38,8.79,-1.31,5.64
7.93,5,9.57,10.9,9.67,5.28,5.94,4.66,5.93,1.35,8.83,11.23,5.52,2.87,8.22,9.01,6.48,0.19,9.06,11.45,2.72,9.71
8.23,6,9.63,11.02,10.64,6.49,10.12,7.22,8.95,3.27,13.25,14.25,9.57,3.4,9.25,9.4,9.45,-0.76,13.68,15.05,3.96,10.82
8.6,7,15.18,14.2,10.82,8.51,17.18,8.89,13.07,4.94,16.36,19.59,12.25,-2.17,12.32,11.18,13.54,-0.23,20.31,16.76,5.41,14.54
8.93,8,18.69,19.69,11.85,9.33,22.09,10.87,16.48,5.79,20.21,26.11,15.47,1.72,14.83,12.79,17.8,-1.18,25.22,21.16,6.43,14.44
9.22,9,24.97,22.97,11.34,11.45,25.57,11.53,14.74,7.23,22.76,29.39,19.48,2.3,17.17,10.92,20.55,0.05,27.18,22.31,7.3,19.55
9.49,10,23.69,30.56,13.52,13.47,28.04,12.74,16.53,10.28,24.01,32.56,23.44,4.59,18.43,13.64,25.74,-1.26,29.62,26.64,8.02,25.04
