irr,pulse,V2205183,V2205244,V2205264,V2205315,V2206073,V2206082,V2206142,V2206143,V2205172,V2205274,V2206075,V2206081,V2206105,V2206153,V2206154
6.82,1,1.118603586,0.625589025,-1.735098407,0.106102076,0.060979076,-0.360344299,1.743411931,0.329708475,-0.247512817,0.296804905,0.696190357,-1.0031147,0.732231617,1.906133413,1.1465583
7.15,2,2.113158284,0.540073526,-2.621918723,1.088587847,0.338960834,0.532878271,3.450346859,0.633745926,0.481300354,-0.439058304,1.503561497,2.037540436,1.43070507,3.008154631,2.523558632
7.45,3,3.362948714,1.04878391,-1.937513873,1.381999102,1.708332248,1.419661394,3.221637639,1.240374404,-0.39333725,-0.918857098,1.691083908,0.02140522,0.186655998,4.13786149,7.311828867
7.76,4,3.621999799,2.540004384,-1.437146708,1.742664423,0.828994937,1.514631144,4.591558369,2.917209881,-0.187961578,-0.642626762,1.760651112,-0.785404205,0.781498909,5.470563173,8.699015394
8.09,5,3.732786714,3.457854402,-0.164820239,3.134215441,0.513818927,2.312315813,5.351847561,3.130730289,-0.194431305,-1.300859928,2.158816338,-1.258586884,1.21394062,8.357612848,9.023469701
8.38,6,5.23258525,5.279826772,1.132669881,2.673435297,-1.235442929,3.591026178,5.794561299,3.345199483,0.645648003,-0.297482491,2.983392715,-0.286569595,1.805841446,11.64341378,9.387858167
8.76,7,5.970162688,9.066922795,1.412245229,4.26471528,-0.946860127,3.594999662,6.913446339,6.404800194,3.357040405,-0.170158386,3.4300313,0.437007904,1.409831047,13.64051843,10.78912522
9.08,8,7.532322704,11.58649601,3.472264722,6.354189958,0.659563251,5.101509443,6.749593647,5.852627056,5.942793846,1.623317242,4.858874798,1.798163414,2.007585049,13.49390244,12.7329786
9.38,9,6.534631549,13.54754795,4.627440885,6.663489427,1.505556293,5.336651198,5.426401051,7.478806752,8.007958412,2.683237076,6.536403179,3.246195793,3.317142487,14.23904824,13.77241494
9.64,10,8.583237945,16.33738292,6.071383908,8.39638814,1.693494983,5.853796354,6.877619656,7.521342057,9.531880379,3.13008976,6.522438526,3.265849113,3.804142952,14.49171281,13.55148198
