irr,pulse,V2307064,V2307103,V2307135,V2307181,V2307202,V2307214,V2308041,V2308101,V2308102,V2308154,V2307102,V2307114,V2307133,V2307185,V2307204,V2307211,V2308033,V2308043,V2308081,V2308153
6.67,1,-80.12,-105.24,-96.22,-30.43,-96.01,-59.42,-128.32,-22.74,-64.13,-65.89,-94.44,-27.58,-38.94,-64.59,-40.74,-28.47,-113.67,-95.33,-54.5,-98.63
7,2,-136.3,-167.09,-131.2,-42.59,-160.65,-119.36,-187.59,-54.35,-128.18,-140.42,-168.12,-64.45,-90.95,-132.01,-111.13,-46.05,-186.81,-159.55,-82.16,-160.87
7.29,3,-187.93,-202.11,-163.32,-55.49,-212.17,-165.11,-194.67,-71.31,-173.19,-209.27,-211.81,-129.84,-154.95,-180.36,-198.82,-68.31,-234.57,-229.22,-110.72,-215.44
7.61,4,-233.26,-245.94,-182.16,-68.6,-257.12,-210.34,-226.49,-108.42,-219.85,-301.24,-253.45,-202.15,-182.9,-254.09,-263.69,-93.45,-286.67,-271.49,-132.01,-255.49
7.93,5,-259.95,-299.44,-186.57,-73.32,-304.91,-227.39,-255.88,-121.06,-253.79,-348.76,-289.99,-259.11,-221.47,-294.24,-314.41,-129.27,-307.22,-304.58,-140.86,-267.69
8.23,6,-258.17,-330.66,-163.57,-75.93,-322.43,-220.5,-246.71,-122.03,-267.08,-359.68,-277.13,-291.58,-233.82,-326.31,-311.02,-130.78,-284.73,-309.66,-121.47,-266.62
8.6,7,-237.77,-340.05,-157.57,-83.07,-333.97,-194.49,-231.15,-95.53,-258.45,-360.03,-313.95,-310.76,-227.41,-353.19,-291,-143.77,-287.95,-302.84,-118.91,-250.29
8.93,8,-186.32,-327.74,-141.14,-86.73,-302.12,-161.87,-185.44,-64.04,-244.12,-300.39,-314.42,-292.77,-203.7,-363.19,-277.66,-135.93,-238.68,-293.25,-81.86,-230.02
9.22,9,-146.95,-293.06,-110.8,-70.76,-260.59,-113.31,-127.24,-42.99,-214.68,-247.77,-309.53,-259.91,-182.49,-356.06,-246.53,-129.19,-163.71,-260.08,-64.98,-189.46
9.49,10,-113.44,-224.93,-78.57,-56.38,-195.3,-110.94,-103.05,-29.73,-198.5,-184.68,-292.78,-255.26,-147.09,-354.06,-218.66,-119.58,-110.95,-209.94,-59.13,-137.68
