irr,pulse,V2205183,V2205244,V2205264,V2205315,V2206073,V2206082,V2206142,V2206143,V2205172,V2205274,V2206075,V2206081,V2206105,V2206153,V2206154
6.82,1,-2,-4.79,-4.46,-1.78,-3.81,-4.9,-7.43,-2.15,-13.5,-8.29,-1.82,-2.81,-9.52,-4.18,-4.36
7.15,2,-2.07,-8.38,-7.56,-9.97,-7.18,-13.7,-16.62,-3.62,-24.96,-15.98,-2.68,-6.5,-14.99,-6.52,-6.7
7.45,3,-4.69,-23.86,-21.14,-26.35,-13.15,-30.24,-24.62,-15.62,-47.86,-37.61,-9.19,-12.62,-35.03,-13.38,-18.57
7.76,4,-8.76,-50.02,-44.92,-49.63,-33.02,-77.23,-46.04,-43.51,-83.52,-62.5,-21.72,-35.25,-63.09,-29.52,-30.83
8.09,5,-19.44,-87.85,-106.25,-86.77,-54.46,-133.94,-67.05,-86.27,-123.03,-96.08,-56.13,-82.89,-81.44,-65.19,-63.01
8.38,6,-27.79,-130.17,-171.38,-125.07,-78.25,-188.56,-84.74,-145.46,-149.49,-126.38,-108.15,-164.73,-99.55,-97.53,-93.21
8.76,7,-41.86,-168.75,-224.41,-155.06,-104.07,-213.52,-108.41,-205.82,-171.16,-147.52,-165.62,-233.47,-108.96,-140.71,-130.96
9.08,8,-47.09,-182.75,-247.71,-164.81,-120.1,-216.4,-107.95,-229.4,-185.69,-147.97,-185.29,-276.92,-111.4,-174.05,-156.27
9.38,9,-49.71,-177.37,-246.04,-174.04,-114.22,-213.63,-101.03,-216.69,-158.02,-143.94,-187.58,-278.67,-108.76,-180.74,-155.52
9.64,10,-50.21,-163.68,-231.66,-165.69,-111.39,-217.28,-89.88,-209.04,-121.93,-137.42,-185.06,-269.03,-114.06,-167.54,-137.3
