wavelength,power,intensity
178.131,0,0
178.351,0,0
178.571,0,0
178.791,0,0
179.011,0,0
179.231,0,0
179.451,0,0
179.671,0,0
179.891,0,0
180.111,0,0
180.331,0,0
180.551,0,0
180.771,0,0
180.991,0,0
181.211,0,0
181.431,0,0
181.65,0,0
181.87,0,0
182.09,0,0
182.31,0,0
182.53,0,0
182.75,0,0
182.97,0,0
183.189,0,0
183.409,0,0
183.629,0,0
183.849,0,0
184.068,0,0
184.288,0,0
184.508,0,0
184.728,0,0
184.947,0,0
185.167,0,0
185.387,0,0
185.606,0,0
185.826,0,0
186.046,0,0
186.265,0,0
186.485,0,0
186.705,0,0
186.924,0,0
187.144,0,0
187.363,0,0
187.583,0,0
187.802,0,0
188.022,0,0
188.242,0,0
188.461,0,0
188.681,0,0
188.9,0,0
189.12,0,0
189.339,0,0
189.558,0,0
189.778,0,0
189.997,0,0
190.217,0,0
190.436,0,0
190.656,0,0
190.875,0,0
191.094,0,0
191.314,0,0
191.533,0,0
191.752,0,0
191.972,0,0
192.191,0,0
192.41,0,0
192.63,0,0
192.849,0,0
193.068,0,0
193.288,0,0
193.507,0,0
193.726,0,0
193.945,0,0
194.165,0,0
194.384,0,0
194.603,0,0
194.822,0,0
195.041,0,0
195.261,0,0
195.48,0,0
195.699,0,0
195.918,0,0
196.137,0,0
196.356,0,0
196.575,0,0
196.794,0,0
197.013,0,0
197.232,0,0
197.451,0,0
197.671,0,0
197.89,0,0
198.109,0,0
198.328,0,0
198.547,0,0
198.766,0,0
198.984,0,0
199.203,0,0
199.422,0,0
199.641,0,0
199.86,0,0
200.079,-5.74,-2.28E-42
200.298,-9.53,-3.79E-42
200.517,-7.12,-2.84E-42
200.736,-6.49,-2.59E-42
200.955,-10.89,-4.35E-42
201.173,-9.2,-3.68E-42
201.392,-12.13,-4.86E-42
201.611,-0.91,-3.65E-43
201.83,-10.08,-4.04E-42
202.049,1.69,6.79E-43
202.268,-3.45,-1.39E-42
202.486,0.07,2.82E-44
202.705,-12.88,-5.19E-42
202.924,-5.55,-2.24E-42
203.143,-4.36,-1.76E-42
203.361,-2.3,-9.30E-43
203.58,-1.52,-6.15E-43
203.799,1.47,5.96E-43
204.017,-9.8,-3.97E-42
204.236,0.29,1.18E-43
204.455,-1.93,-7.84E-43
204.673,-0.82,-3.34E-43
204.892,-12.61,-5.14E-42
205.111,-7.46,-3.04E-42
205.329,3.49,1.42E-42
205.548,-2.62,-1.07E-42
205.767,-9.66,-3.95E-42
205.985,-4.38,-1.79E-42
206.204,1.7,6.97E-43
206.422,-3.17,-1.30E-42
206.641,1.41,5.79E-43
206.859,-5.57,-2.29E-42
207.078,-2.37,-9.76E-43
207.296,-2.95,-1.22E-42
207.515,-3.08,-1.27E-42
207.733,-4.17,-1.72E-42
207.952,1.28,5.29E-43
208.17,-7.48,-3.10E-42
208.389,-3.85,-1.60E-42
208.607,-3.34,-1.39E-42
208.826,-1.32,-5.48E-43
209.044,-7.68,-3.19E-42
209.263,1.11,4.62E-43
209.481,-0.92,-3.83E-43
209.699,-2.31,-9.63E-43
209.918,-5.04,-2.10E-42
210.136,0.54,2.26E-43
210.355,-3.55,-1.48E-42
210.573,-3.72,-1.56E-42
210.791,-3.29,-1.38E-42
211.01,-3.12,-1.31E-42
211.228,1.6,6.72E-43
211.446,2.67,1.12E-42
211.664,-7,-2.95E-42
211.883,-1.71,-7.20E-43
212.101,-1.73,-7.29E-43
212.319,3.51,1.48E-42
212.537,-3.13,-1.32E-42
212.756,-0.85,-3.60E-43
212.974,1.13,4.78E-43
213.192,-1.58,-6.70E-43
213.41,-0.23,-9.76E-44
213.628,1.09,4.63E-43
213.847,-1.66,-7.06E-43
214.065,-0.9,-3.83E-43
214.283,-1.69,-7.20E-43
214.501,4.77,2.03E-42
214.719,1.1,4.70E-43
214.937,0.47,2.01E-43
215.155,3.12,1.33E-42
215.373,-0.7,-3.00E-43
215.591,-3.34,-1.43E-42
215.81,0.19,8.15E-44
216.028,-4.83,-2.07E-42
216.246,-1.45,-6.23E-43
216.464,-1.46,-6.28E-43
216.682,-0.96,-4.14E-43
216.9,-1.89,-8.15E-43
217.118,-0.84,-3.63E-43
217.336,-4.29,-1.85E-42
217.554,-1.18,-5.10E-43
217.772,-0.94,-4.07E-43
217.989,0.55,2.38E-43
218.207,-1.23,-5.34E-43
218.425,-1.66,-7.21E-43
218.643,-0.59,-2.56E-43
218.861,-1.26,-5.48E-43
219.079,-2.45,-1.07E-42
219.297,0.9,3.92E-43
219.515,0,0
219.733,-1.9,-8.30E-43
219.95,1.2,5.25E-43
220.168,-1.06,-4.64E-43
220.386,1.36,5.96E-43
220.604,0.98,4.30E-43
220.822,-1.05,-4.61E-43
221.039,-1.48,-6.50E-43
221.257,-0.1,-4.40E-44
221.475,-1.36,-5.99E-43
221.693,1.66,7.32E-43
221.91,-1.82,-8.03E-43
222.128,0.57,2.52E-43
222.346,-4.93,-2.18E-42
222.563,-1.24,-5.49E-43
222.781,-1.19,-5.27E-43
222.999,-0.09,-3.99E-44
223.216,0,0
223.434,-0.89,-3.95E-43
223.652,0.12,5.34E-44
223.869,-2.55,-1.13E-42
224.087,-2.87,-1.28E-42
224.305,-2.62,-1.17E-42
224.522,-0.8,-3.57E-43
224.74,-0.08,-3.57E-44
224.957,-1.56,-6.98E-43
225.175,-0.1,-4.48E-44
225.392,0.12,5.38E-44
225.61,-0.43,-1.93E-43
225.827,-3.19,-1.43E-42
226.045,-1.78,-8.00E-43
226.262,-0.9,-4.05E-43
226.48,-0.78,-3.51E-43
226.697,-0.28,-1.26E-43
226.915,-0.13,-5.86E-44
227.132,-1.79,-8.08E-43
227.35,-0.91,-4.11E-43
227.567,-1.63,-7.37E-43
227.784,-0.53,-2.40E-43
228.002,-0.42,-1.90E-43
228.219,-1.14,-5.17E-43
228.437,-0.09,-4.09E-44
228.654,1.54,7.00E-43
228.871,-3.26,-1.48E-42
229.089,0.06,2.73E-44
229.306,1.15,5.24E-43
229.523,-1.67,-7.62E-43
229.741,0.41,1.87E-43
229.958,-1.22,-5.58E-43
230.175,0.11,5.03E-44
230.392,-2.03,-9.30E-43
230.61,-0.21,-9.63E-44
230.827,-0.6,-2.75E-43
231.044,-2.49,-1.14E-42
231.261,-0.76,-3.49E-43
231.479,-0.48,-2.21E-43
231.696,0.28,1.29E-43
231.913,-0.86,-3.97E-43
232.13,-1.96,-9.05E-43
232.347,-1.14,-5.27E-43
232.564,-1.24,-5.73E-43
232.781,0.19,8.79E-44
232.999,-0.63,-2.92E-43
233.216,0.29,1.34E-43
233.433,0.18,8.35E-44
233.65,-0.88,-4.09E-43
233.867,0.48,2.23E-43
234.084,-0.73,-3.40E-43
234.301,-1.64,-7.64E-43
234.518,-0.28,-1.31E-43
234.735,-0.72,-3.36E-43
234.952,-0.5,-2.34E-43
235.169,-0.75,-3.51E-43
235.386,0.38,1.78E-43
235.603,-0.74,-3.47E-43
235.82,-0.09,-4.22E-44
236.037,0.09,4.22E-44
236.254,-0.51,-2.40E-43
236.471,1.09,5.12E-43
236.688,-0.62,-2.92E-43
236.905,-0.32,-1.51E-43
237.121,-1.1,-5.19E-43
237.338,0.56,2.64E-43
237.555,-0.56,-2.64E-43
237.772,0.45,2.13E-43
237.989,-0.88,-4.16E-43
238.206,0.03,1.42E-44
238.423,0.74,3.51E-43
238.639,-1.04,-4.93E-43
238.856,-0.21,-9.97E-44
239.073,0.74,3.52E-43
239.29,-0.65,-3.09E-43
239.506,-0.19,-9.05E-44
239.723,-0.95,-4.53E-43
239.94,0.26,1.24E-43
240.157,-0.13,-6.21E-44
240.373,-0.32,-1.53E-43
240.59,-0.72,-3.44E-43
240.807,-0.92,-4.40E-43
241.023,1.41,6.76E-43
241.24,-1.5,-7.19E-43
241.457,0.03,1.44E-44
241.673,-0.33,-1.59E-43
241.89,-0.58,-2.79E-43
242.107,0.72,3.47E-43
242.323,-0.65,-3.13E-43
242.54,-0.24,-1.16E-43
242.756,-0.15,-7.24E-44
242.973,-0.73,-3.53E-43
243.189,-0.95,-4.59E-43
243.406,-1.14,-5.52E-43
243.622,-0.31,-1.50E-43
243.839,0.1,4.85E-44
244.055,-0.66,-3.20E-43
244.272,-0.39,-1.89E-43
244.488,0.22,1.07E-43
244.705,-0.67,-3.26E-43
244.921,-0.8,-3.90E-43
245.138,-0.13,-6.34E-44
245.354,0.82,4.00E-43
245.571,-0.52,-2.54E-43
245.787,-0.43,-2.10E-43
246.003,-0.4,-1.96E-43
246.22,0.82,4.01E-43
246.436,-1.24,-6.08E-43
246.653,-1.33,-6.52E-43
246.869,-0.23,-1.13E-43
247.085,-0.41,-2.01E-43
247.302,0.19,9.34E-44
247.518,0.55,2.71E-43
247.734,-0.09,-4.43E-44
247.95,-0.72,-3.55E-43
248.167,-0.47,-2.32E-43
248.383,0.53,2.62E-43
248.599,-0.03,-1.48E-44
248.815,-0.1,-4.95E-44
249.032,-0.07,-3.47E-44
249.248,-0.41,-2.03E-43
249.464,-0.93,-4.61E-43
249.68,-0.23,-1.14E-43
249.896,-0.24,-1.19E-43
250.113,-0.77,-3.83E-43
250.329,-1.24,-6.17E-43
250.545,-0.49,-2.44E-43
250.761,-0.86,-4.29E-43
250.977,0.04,2.00E-44
251.193,0.82,4.10E-43
251.409,-0.26,-1.30E-43
251.625,0.25,1.25E-43
251.841,-0.36,-1.80E-43
252.057,0.03,1.50E-44
252.273,-0.08,-4.01E-44
252.489,-0.07,-3.51E-44
252.705,-0.86,-4.32E-43
252.921,-0.11,-5.53E-44
253.137,0.17,8.56E-44
253.353,-0.34,-1.71E-43
253.569,-0.17,-8.57E-44
253.785,0.28,1.41E-43
254.001,-0.65,-3.28E-43
254.217,-0.16,-8.09E-44
254.433,0.17,8.60E-44
254.649,-0.24,-1.22E-43
254.865,0.39,1.98E-43
255.081,-0.62,-3.14E-43
255.297,-0.69,-3.50E-43
255.512,0.28,1.42E-43
255.728,0.28,1.42E-43
255.944,-0.43,-2.19E-43
256.16,0.12,6.11E-44
256.376,0.52,2.65E-43
256.592,-0.28,-1.43E-43
256.807,-0.34,-1.74E-43
