wlen,transmission
200,1.00E-06
200.19417,1.00E-06
200.38834,1.00E-06
200.58251,1.00E-06
200.77668,1.00E-06
200.97085,1.00E-06
201.16502,1.00E-06
201.35919,1.00E-06
201.55336,1.00E-06
201.74753,1.00E-06
201.9417,1.00E-06
202.13587,1.00E-06
202.33004,1.00E-06
202.52421,1.00E-06
202.71838,1.00E-06
202.91255,1.00E-06
203.10672,1.00E-06
203.30089,1.00E-06
203.49506,1.00E-06
203.68923,1.00E-06
203.8834,1.00E-06
204.07757,1.00E-06
204.27174,1.00E-06
204.46591,1.00E-06
204.66008,1.00E-06
204.85425,1.00E-06
205.04842,1.00E-06
205.24259,1.00E-06
205.43676,1.00E-06
205.63093,1.00E-06
205.8251,1.00E-06
206.01927,1.00E-06
206.21344,1.00E-06
206.40761,1.00E-06
206.60178,1.00E-06
206.79595,1.00E-06
206.99012,1.00E-06
207.18429,1.00E-06
207.37846,1.00E-06
207.57263,1.00E-06
207.7668,1.00E-06
207.96097,1.00E-06
208.15514,1.00E-06
208.34931,1.00E-06
208.54348,1.00E-06
208.73765,1.00E-06
208.93182,1.00E-06
209.12599,1.00E-06
209.32016,1.00E-06
209.51433,1.00E-06
209.7085,1.00E-06
209.90267,1.00E-06
210.09684,1.00E-06
210.29101,1.00E-06
210.48518,1.00E-06
210.67935,1.00E-06
210.87352,1.00E-06
211.06769,1.00E-06
211.26186,1.00E-06
211.45603,1.00E-06
211.6502,1.00E-06
211.84437,1.00E-06
212.03854,1.00E-06
212.23271,1.00E-06
212.42688,1.00E-06
212.62105,1.00E-06
212.81522,1.00E-06
213.00939,1.00E-06
213.20356,1.00E-06
213.39773,1.00E-06
213.5919,1.00E-06
213.78607,1.00E-06
213.98024,1.00E-06
214.17441,1.00E-06
214.36858,1.00E-06
214.56275,1.00E-06
214.75692,1.00E-06
214.95109,1.00E-06
215.14526,1.00E-06
215.33943,1.00E-06
215.5336,1.00E-06
215.72777,1.00E-06
215.92194,1.00E-06
216.11611,1.00E-06
216.31028,1.00E-06
216.50445,1.00E-06
216.69862,1.00E-06
216.89279,1.00E-06
217.08696,1.00E-06
217.28113,1.00E-06
217.4753,1.00E-06
217.66947,1.00E-06
217.86364,1.00E-06
218.05781,1.00E-06
218.25198,1.00E-06
218.44615,1.00E-06
218.64032,1.00E-06
218.83449,1.00E-06
219.02866,1.00E-06
219.22283,1.00E-06
219.417,1.00E-06
219.61117,1.00E-06
219.80534,1.00E-06
219.99951,1.00E-06
220.19368,1.00E-06
220.38785,1.00E-06
220.58202,1.00E-06
220.77619,1.00E-06
220.97036,1.00E-06
221.16453,1.00E-06
221.3587,1.00E-06
221.55287,1.00E-06
221.74704,1.00E-06
221.94121,1.00E-06
222.13538,1.00E-06
222.32955,1.00E-06
222.52372,1.00E-06
222.71789,1.00E-06
222.91206,1.00E-06
223.10623,1.00E-06
223.3004,1.00E-06
223.49457,1.00E-06
223.68874,1.00E-06
223.88291,1.00E-06
224.07708,1.00E-06
224.27125,1.00E-06
224.46542,1.00E-06
224.65959,1.00E-06
224.85376,1.00E-06
225.04793,1.00E-06
225.2421,1.00E-06
225.43627,1.00E-06
225.63044,1.00E-06
225.82461,1.00E-06
226.01878,1.00E-06
226.21295,1.00E-06
226.40712,1.00E-06
226.60129,1.00E-06
226.79546,1.00E-06
226.98963,1.00E-06
227.1838,1.00E-06
227.37797,1.00E-06
227.57214,1.00E-06
227.76631,1.00E-06
227.96048,1.00E-06
228.15465,1.00E-06
228.34882,1.00E-06
228.54299,1.00E-06
228.73716,1.00E-06
228.93133,1.00E-06
229.1255,1.00E-06
229.31967,1.00E-06
229.51384,1.00E-06
229.70801,1.00E-06
229.90218,1.00E-06
230.09635,1.00E-06
230.29052,1.00E-06
230.48469,1.00E-06
230.67886,1.00E-06
230.87303,1.00E-06
231.0672,1.00E-06
231.26137,1.00E-06
231.45554,1.00E-06
231.64971,1.00E-06
231.84388,1.00E-06
232.03805,1.00E-06
232.23222,1.00E-06
232.42639,1.00E-06
232.62056,1.00E-06
232.81473,1.00E-06
233.0089,1.00E-06
233.20307,1.00E-06
233.39724,1.00E-06
233.59141,1.00E-06
233.78558,1.00E-06
233.97975,1.00E-06
234.17392,1.00E-06
234.36809,1.00E-06
234.56226,1.00E-06
234.75643,1.00E-06
234.9506,1.00E-06
235.14477,1.00E-06
235.33894,1.00E-06
235.53311,1.00E-06
235.72728,1.00E-06
235.92145,1.00E-06
236.11562,1.00E-06
236.30979,1.00E-06
236.50396,1.00E-06
236.69813,1.00E-06
236.8923,1.00E-06
237.08647,1.00E-06
237.28064,1.00E-06
237.47481,1.00E-06
237.66898,1.00E-06
237.86315,1.00E-06
238.05732,1.00E-06
238.25149,1.00E-06
238.44566,1.00E-06
238.63983,1.00E-06
238.834,1.00E-06
239.02817,1.00E-06
239.22234,1.00E-06
239.41651,1.00E-06
239.61068,1.00E-06
239.80485,1.00E-06
239.99902,1.00E-06
240.19319,1.00E-06
240.38736,1.00E-06
240.58153,1.00E-06
240.7757,1.00E-06
240.96987,1.00E-06
241.16404,1.00E-06
241.35821,1.00E-06
241.55238,1.00E-06
241.74655,1.00E-06
241.94072,1.00E-06
242.13489,1.00E-06
242.32906,1.00E-06
242.52323,1.00E-06
242.7174,1.00E-06
242.91157,1.00E-06
243.10574,1.00E-06
